NODE,Position X,Position Y,CONNECT-TO
-2,-13327.4434,-4910.1963,
-1,-43110.4939,35651.2234,
1,-41103.5952,29060.2851,2
2,-41015.679,28045.9921,1
2,-41015.679,28045.9921,3
2,-41015.679,28045.9921,90
3,-40148.1914,27782.3296,2
3,-40148.1914,27782.3296,4
3,-40148.1914,27782.3296,11
3,-40148.1914,27782.3296,15
3,-40148.1914,27782.3296,90
4,-37878.9986,27190.3562,3
4,-37878.9986,27190.3562,5
4,-37878.9986,27190.3562,10
4,-37878.9986,27190.3562,11
5,-36841.2482,26986.6801,4
5,-36841.2482,26986.6801,6
5,-36841.2482,26986.6801,9
5,-36841.2482,26986.6801,10
5,-36841.2482,26986.6801,8
6,-35744.8537,26229.1098,5
6,-35744.8537,26229.1098,7
6,-35744.8537,26229.1098,10
6,-35744.8537,26229.1098,34
6,-35744.8537,26229.1098,32
7,-34849.0843,28261.58,8
7,-34849.0843,28261.58,34
7,-34849.0843,28261.58,6
7,-34849.0843,28261.58,5
8,-35427.602,30144.878,7
8,-35427.602,30144.878,9
8,-35427.602,30144.878,5
8,-35427.602,30144.878,150
9,-35763.5153,30648.334,5
9,-35763.5153,30648.334,146
9,-35763.5153,30648.334,150
9,-35763.5153,30648.334,8
10,-37237.8025,25707.0074,5
10,-37237.8025,25707.0074,6
10,-37237.8025,25707.0074,11
10,-37237.8025,25707.0074,12
11,-38058.9243,25557.8352,4
11,-38058.9243,25557.8352,10
11,-38058.9243,25557.8352,12
11,-38058.9243,25557.8352,91
12,-37453.4266,24854.0624,10
12,-37453.4266,24854.0624,11
12,-37453.4266,24854.0624,16
12,-37453.4266,24854.0624,91
14,-38912.138,23092.077,16
14,-38912.138,23092.077,91
15,-41190.0835,27297.2632,3
15,-41190.0835,27297.2632,90
15,-41190.0835,27297.2632,17
16,-36887.7906,23110.8055,14
16,-36887.7906,23110.8055,18
16,-36887.7906,23110.8055,31
16,-36887.7906,23110.8055,12
17,-40786.5336,23204.4483,15
17,-40786.5336,23204.4483,19
18,-36700.3512,22099.4642,16
18,-36700.3512,22099.4642,20
18,-36700.3512,22099.4642,19
18,-36700.3512,22099.4642,33
19,-41367.5961,21855.9932,17
19,-41367.5961,21855.9932,18
