NODE,Position X,Position Y,CONNECT-TO
-2,-13327.4434,-4910.1963,
-1,-43110.4939,35651.2234,
1,-41103.5952,29060.2851,2
2,-41015.679,28045.9921,1
2,-41015.679,28045.9921,3
2,-41015.679,28045.9921,
3,-40148.1914,27782.3296,2
3,-40148.1914,27782.3296,4
3,-40148.1914,27782.3296,
3,-40148.1914,27782.3296,
3,-40148.1914,27782.3296,
4,-37878.9986,27190.3562,3
4,-37878.9986,27190.3562,5
4,-37878.9986,27190.3562,10
4,-37878.9986,27190.3562,
5,-36841.2482,26986.6801,4
5,-36841.2482,26986.6801,6
5,-36841.2482,26986.6801,9
5,-36841.2482,26986.6801,10
5,-36841.2482,26986.6801,8
6,-35744.8537,26229.1098,5
6,-35744.8537,26229.1098,7
6,-35744.8537,26229.1098,10
6,-35744.8537,26229.1098,
6,-35744.8537,26229.1098,
7,-34849.0843,28261.58,8
7,-34849.0843,28261.58,
7,-34849.0843,28261.58,6
7,-34849.0843,28261.58,5
8,-35427.602,30144.878,7
8,-35427.602,30144.878,9
8,-35427.602,30144.878,5
8,-35427.602,30144.878,
9,-35763.5153,30648.334,5
9,-35763.5153,30648.334,
9,-35763.5153,30648.334,
9,-35763.5153,30648.334,8
10,-37237.8025,25707.0074,5
10,-37237.8025,25707.0074,6
10,-37237.8025,25707.0074,
10,-37237.8025,25707.0074,
