id,x,y
-1,0,-358
-2,1143,1176
1,75,-110
2,79,-71
3,113,-61
4,200,-39
5,239,-31
6,281,-3
7,316,-79
8,293,-150
9,280,-169
10,224,17
11,192,22
12,216,49
14,151,88
15,72,-43
16,238,115
17,75,105
18,245,153
19,65,162
20,259,178
22,535,-124
23,472,-141
24,449,-90
25,503,-61
26,490,-41
27,439,-70
28,426,23
29,414,-19
30,417,64
31,328,105
32,338,24
33,334,158
34,356,-48
35,472,-6
36,181,234
37,166,221
40,78,210
45,181,272
46,183,304
47,157,312
49,257,292
50,334,284
51,155,367
52,192,369
53,314,562
54,349,538
55,377,517
56,424,510
57,457,510
60,419,444
61,458,482
62,479,491
64,530,263
65,517,251
66,460,260
67,507,213
68,493,164
69,485,143
70,449,145
71,362,160
72,368,197
73,390,198
74,402,198
75,418,201
76,419,218
77,573,158
78,588,47
81,558,210
82,654,270
83,597,104
84,609,60
85,660,58
86,660,101
87,637,156
88,593,156
89,454,180
90,72,-49
91,160,53
92,334,81
93,253,265
94,424,543
95,728,-5
96,726,24
97,727,53
98,723,94
99,727,153
100,574,191
101,641,231
102,568,267
103,500,318
104,523,339
105,450,398
107,668,285
108,716,333
109,635,482
110,595,539
111,526,519
112,526,561
113,346,345
114,298,363
115,366,408
116,333,482
117,303,430
118,287,582
119,343,517
120,298,540
121,212,564
122,120,562
123,43,562
124,39,636
125,176,632
126,266,671
127,37,840
128,38,1014
129,220,706
130,303,690
131,220,826
132,219,955
133,300,936
134,295,965
135,369,994
136,512,920
137,552,892
138,544,845
139,578,897
140,636,872
141,713,834
142,768,810
143,767,786
144,41,448
145,46,235
146,280,-186
147,52,-187
148,183,-183
149,183,-311
150,334,-183
151,328,-309
152,432,-194
153,432,-311
154,610,29
155,623,-308
156,896,747
157,977,612
158,1049,443
159,885,354
160,802,272
161,816,171
162,1087,325
163,1107,228
164,981,131
165,856,78
166,844,-19
167,844,-303
168,231,438
169,610,392
170,136,-101
171,237,-89
172,316,-167
173,391,-71
174,460,-163
175,562,-89
176,686,92
177,472,66
178,385,108
179,272,47
180,116,107
181,117,168
182,241,302
183,363,772
