label, id
Fine Arts 536A,1
Fine Arts 537A,1
Fine Arts 526,2
Fine Arts 512,3
Fine Arts 513,3
Fine Arts 514,3
Fine Arts 515,3
Fine Arts 519,3
Fine Arts 501,4
Fine Arts 502,4
Fine Arts 503,4
Fine Arts 504,4
Fine Arts 508,4
Fine Arts 510,4
Fine Arts Theatre,4
Theatre THEATRE,4
Arts & Science 101,5
Arts & Science 105,5
Arts & Science 111,5
Science 420,7
Science 422,7
Counseling,14
Raef Hall 162,18
Visitor Parking,19
Comp-MathCmplx 400,22
Comp-MathCmplx 401,22
Comp-MathCmplx 402,22
Comp-MathCmplx 403,22
Comp-MathCmplx 406,22
Science 414,23
Science 415,23
Science 490,23
Science 491,23
Science 492,23
Science 493,23
Science 411,24
Science 412,24
Science 416,24
Science 418,24
Comp-MathCmplx 407,25
Comp-MathCmplx 408,25
Comp-MathCmplx 409,25
Comp-MathCmplx 410,25
Comp-MathCmplx 411,25
Science 406,27
Science 407,27
Science 408,27
Science 426,27
Science 403,29
Library 1,30
Library 2,30
Science 400,34
Science 401,34
Science 402,34
Science 424,34
Science 425,34
Raef Hall,37
Raef Hall 160,37
Raef Hall 161,37
Davies Hall 106,46
Davies Hall 107,46
Davies Hall 209,46
Davies Hall 210,46
Davies Hall 211,46
Davies Hall 212,46
Davies Hall 213,46
Davies Hall 103,49
Davies Hall 104,49
Davies Hall 105,49
Davies Hall 205,49
Davies Hall 206,49
Davies Hall 207,49
Davies Hall 208,49
Davies Hall 101,50
Davies Hall 102,50
Davies Hall 200,50
Davies Hall 201,50
Davies Hall 202,50
Davies Hall 203,50
Davies Hall 204,50
Receiving,51
Davies Hall 110,52
Davies Hall 111,52
Davies Hall 112,52
Davies Hall 113,52
Davies Hall 214,52
Davies Hall 215,52
Davies Hall 216,52
Davies Hall 217,52
Davies Hall 218,52
Davies Hall 219,52
Davies Hall 220,52
Parking Garage,54
Health and Education-South,56
HeEd 714,56
HeEd 715,56
HeEd 716,56
Portable 611,60
Portable 612,60
Portable 613A,60
Portable 613B,60
Portable 614,60
HeEd 710,60
HeEd 713,61
Physical Education 200E,62
Learning Resource Center,66
Learning Resource Center 162,66
Learning Resource Center ESL,66
Learning Resource Center RAD 149,66
Learning Resource Center READ 143,66
Learning Resource Center READ CNTR,66
Learning Resource Center WAC 151,66
Learning Resource Center RAD,66
Learning Resource Center WAC,66
Learning Resource Center 104,66
Learning Resource Center WRITING CT,66
Bookstore,68
ITC ,71
Tech Ed 303,85
Tech Ed 320B,85
Tech Ed 324,85
Tech Ed 306,87
Tech Ed 307,87
Tech Ed 304,89
Tech Ed 305,89
Tech Ed 325,95
Tech Ed 326,95
Tech Ed 330,95
Tech Ed 330A,95
Tech Ed 330B,95
Tech Ed 332A,96
Tech Ed 332B,96
Tech Ed 333A,96
Tech Ed 333B,96
Tech Ed 308,97
Tech Ed 333C,97
Tech Ed 333D,97
Tech Ed 333E,97
Tech Ed 334,97
Tech Ed 335,97
Tech Ed 336,97
Tech Ed 390,97
Tech Ed 391,97
Tech Ed 309,98
Tech Ed 310,98
Health and Education-North,99
Tech Ed 311,99
Tech Ed 312,99
HeEd Portable 700,99
HeEd Portable 701,99
HeEd Portable 702,99
CDC-East,101
Child Development Center 100,101
Child Development Center 140,101
Child Development Center 350,101
Kinesiology and Athletics,102
Physical Education 231A,102
Physical Education 235,102
Physical Education 236,102
Pool,104
Gym,105
Physical Education MAIN GYM,105
Physical Education PRACT GYM,105
GYM STAGE,105
Soccer Stadium,109
Physical Education STADIUM,109
Davies Hall 116,113
Learning Resource Center 125,113
Davies Hall 228,113
Ranch House,114
Davies Hall 114,114
Davies Hall 115,114
Davies Hall 221,114
Davies Hall 222,114
Davies Hall 223,114
Davies Hall 224,114
Davies Hall 225,114
Davies Hall 226,114
Davies Hall 227,114
Portable Village,115
Portable 600,115
Portable 601,115
Portable 602A,115
Portable 602B,115
College Oak Lot G (Staff Only),116
Portable 604A,117
Portable 604B,117
Portable 605,117
Portable 606,117
Portable 609A,119
Portable 609B,119
Portable 610A,119
Portable 610B,119
College Oak Lot S,127
Baseball Field,138
Softball field,143
College Oak Lot X ( Staff Only),144
College Oak Lot E ( Staff Only),145
Fine Arts 547,147
Fine Arts 548,147
Fine Arts 550,148
Fine Arts 554,148
Myrtle Lot D,149
Myrtle Lot C,153
Tech Ed 320,154
Tech Ed 320A,154
Tech Ed 321,154
Tech Ed 322,154
Tech Ed 323,154
Myrtle Lot B,155
Physical Education FIELDS,159
Environmental Resources,161
Environmental Resources 1,161
Environmental Resources 2,161
Tech Ed 337,166
Myrtle Lot A,167
College Police and operation,168
Adaptive PE,169
Adaptive P.E. 101,169
Physical Education 205,169
Physical Education 206,169
Physical Education POOL,169
Fine and Applied Arts ,170
Fine and Applied Arts offices,171
Art Science,172
Science ,173
Science offices,174
Computer Math Complex,175
Tech ed,176
Student Center,177
Library,178
Student Services,179
Administration,180
Howard Hall,181
Davies Hall,182
Stadium,183
